userid,created_at,duration,genre,id,last_modified,license,likes_count,release_date,reposts_count,title,published_at,display_date,track_count
46955753,2013-11-04 20:35:18+00:00,0,,13806619,2013-11-04 20:35:19+00:00,all-rights-reserved,0,,0,Tomorrowland,,2013-11-04 20:35:18+00:00,0
46955753,2013-09-06 16:27:43+00:00,16848713,,10007180,2013-09-06 16:27:43+00:00,all-rights-reserved,0,,0,Nicky Romero,,2013-09-06 16:27:43+00:00,11
46955753,2013-08-27 18:38:00+00:00,8366209,,9557811,2013-08-27 18:38:00+00:00,all-rights-reserved,0,,0,DJ LUKE K,,2013-08-27 18:38:00+00:00,2
46955753,2013-08-27 12:24:32+00:00,0,,9545294,2013-08-27 12:24:32+00:00,all-rights-reserved,0,,0,This Song Is Sick,,2013-08-27 12:24:32+00:00,0
46955753,2013-08-25 12:11:45+00:00,10863225,,9457400,2013-08-25 12:11:45+00:00,all-rights-reserved,6,,1,Becki de-Funk,,2013-08-25 12:11:45+00:00,5
46955753,2013-08-15 22:52:12+00:00,503477,,9052145,2013-08-15 22:52:12+00:00,all-rights-reserved,0,,0,Progressive House,,2013-08-15 22:52:12+00:00,2
46955753,2013-08-15 15:10:33+00:00,538352,,9036181,2013-08-15 15:10:33+00:00,all-rights-reserved,0,,0,DashBerlin,,2013-08-15 15:10:33+00:00,2
46955753,2013-08-15 14:50:50+00:00,5739402,,9035609,2013-08-15 14:50:51+00:00,all-rights-reserved,0,,0,Hardwell,,2013-08-15 14:50:50+00:00,1
46955753,2013-08-15 14:46:58+00:00,1447003,,9035479,2013-08-15 14:46:58+00:00,all-rights-reserved,0,,0,Armin Van Buuren,,2013-08-15 14:46:58+00:00,5
46955753,2013-08-15 14:45:30+00:00,21378934,,9035431,2013-08-15 14:45:30+00:00,all-rights-reserved,0,,0,Tiesto,,2013-08-15 14:45:30+00:00,6
46955753,2013-08-15 14:42:47+00:00,6142616,,9035345,2013-08-15 14:42:47+00:00,all-rights-reserved,1,,0,Sharif Pascø,,2013-08-15 14:42:47+00:00,2
46955753,2013-08-15 14:34:54+00:00,279510,,9035088,2013-08-15 14:34:54+00:00,all-rights-reserved,0,,0,CUTEE B,,2013-08-15 14:34:54+00:00,1
