created_at,kind,id,playlist.artwork_url,playlist.created_at,playlist.duration,playlist.id,playlist.kind,playlist.last_modified,playlist.likes_count,playlist.managed_by_feeds,playlist.permalink,playlist.permalink_url,playlist.public,playlist.reposts_count,playlist.secret_token,playlist.sharing,playlist.title,playlist.track_count,playlist.uri,playlist.user_id,playlist.set_type,playlist.is_album,playlist.published_at,playlist.release_date,playlist.display_date,playlist.user.avatar_url,playlist.user.first_name,playlist.user.followers_count,playlist.user.full_name,playlist.user.id,playlist.user.kind,playlist.user.last_modified,playlist.user.last_name,playlist.user.permalink,playlist.user.permalink_url,playlist.user.uri,playlist.user.urn,playlist.user.username,playlist.user.verified,playlist.user.city,playlist.user.country_code,playlist.user.badges.pro,playlist.user.badges.pro_unlimited,playlist.user.badges.verified,playlist.user.station_urn,playlist.user.station_permalink
2019-03-06T19:33:06Z,like,8,https://i1.sndcdn.com/artworks-000044124061-iem4yd-large.jpg,2013-03-28T21:53:46Z,239486,4377732,playlist,2013-03-28T21:55:49Z,34,False,the-disintegration-loops-iii,https://soundcloud.com/william-basinski/sets/the-disintegration-loops-iii,True,9,,public,The Disintegration Loops III,1,https://api.soundcloud.com/playlists/4377732,40170293,,False,,,2013-03-28T21:53:46Z,https://i1.sndcdn.com/avatars-000037463361-3d7cpt-large.jpg,william,10079,william basinski,40170293,user,2021-02-18T19:28:16Z,basinski,william-basinski,https://soundcloud.com/william-basinski,https://api.soundcloud.com/users/40170293,soundcloud:users:40170293,williambasinski,False,,US,False,True,False,soundcloud:system-playlists:artist-stations:40170293,artist-stations:40170293
2019-03-05T18:49:07Z,like,8,https://i1.sndcdn.com/artworks-000496460658-o1hase-large.jpg,2019-02-28T19:43:00Z,2117099,719232216,playlist,2019-03-02T10:42:36Z,2450,False,body-bag-5,https://soundcloud.com/acehood/sets/body-bag-5,True,266,,public,Body Bag 5,15,https://api.soundcloud.com/playlists/719232216,45469671,,False,2019-03-02T10:42:36Z,,2019-03-02T10:42:36Z,https://i1.sndcdn.com/avatars-000337985338-18wh8i-large.jpg,ACE,142810,ACE HOOD,45469671,user,2020-11-18T18:02:07Z,HOOD,acehood,https://soundcloud.com/acehood,https://api.soundcloud.com/users/45469671,soundcloud:users:45469671,Ace Hood,True,BROWARD COUNTY,US,False,True,True,soundcloud:system-playlists:artist-stations:45469671,artist-stations:45469671
2018-08-12T10:28:06Z,like,8,https://i1.sndcdn.com/artworks-000386719467-nnknhs-large.jpg,2018-08-09T22:21:21Z,887481,579312096,playlist,2018-08-10T15:34:20Z,47,False,joe-carter-sings-the-spirituals,https://soundcloud.com/onbeing/sets/joe-carter-sings-the-spirituals,True,4,,public,Joe Carter Sings the Spirituals,7,https://api.soundcloud.com/playlists/579312096,2155688,,False,2018-08-09T22:21:21Z,,2018-08-09T22:21:21Z,https://i1.sndcdn.com/avatars-000472290336-7r79j0-large.jpg,,1402965,,2155688,user,2019-03-01T17:58:40Z,,onbeing,https://soundcloud.com/onbeing,https://api.soundcloud.com/users/2155688,soundcloud:users:2155688,On Being Studios,False,Minneapolis,US,False,True,False,soundcloud:system-playlists:artist-stations:2155688,artist-stations:2155688
2018-06-29T13:15:35Z,like,8,https://i1.sndcdn.com/artworks-000366590847-q14id3-large.jpg,2018-06-29T10:09:40Z,1563127,550937493,playlist,2018-06-29T11:40:54Z,56,False,bec-sines-breaks-ep-vgt008,https://soundcloud.com/voightrecordings/sets/bec-sines-breaks-ep-vgt008,True,14,,public,BEC - Sines & Breaks EP - VGT008,4,https://api.soundcloud.com/playlists/550937493,198152318,ep,True,2018-06-29T11:40:54Z,2018-06-29T00:00:00Z,2018-06-29T11:40:54Z,https://i1.sndcdn.com/avatars-000276803720-zklba2-large.jpg,Voight,708,Voight Recordings,198152318,user,2018-11-25T10:22:03Z,Recordings,voightrecordings,https://soundcloud.com/voightrecordings,https://api.soundcloud.com/users/198152318,soundcloud:users:198152318,Voight,False,Berlin,DE,False,False,False,soundcloud:system-playlists:artist-stations:198152318,artist-stations:198152318
2018-06-08T13:35:44Z,like,8,https://i1.sndcdn.com/artworks-000350319120-roqjk3-large.jpg,2018-05-19T20:38:37Z,9096726,523416936,playlist,2018-06-11T20:02:28Z,1747,False,nomade-album,https://soundcloud.com/nomadesound/sets/nomade-album,True,310,,public,Nômade Album By: NU,16,https://api.soundcloud.com/playlists/523416936,182086432,album,True,2018-05-20T12:59:14Z,2018-05-24T00:00:00Z,2018-05-20T12:59:14Z,https://i1.sndcdn.com/avatars-000554526396-1m71wq-large.jpg,The meeting point of those,15347,The meeting point of those,182086432,user,2021-12-20T15:48:00Z,,nomadesound,https://soundcloud.com/nomadesound,https://api.soundcloud.com/users/182086432,soundcloud:users:182086432,NÔMADE SOUND,True,whose journeys never ends,,False,True,True,soundcloud:system-playlists:artist-stations:182086432,artist-stations:182086432
2018-03-29T14:04:15Z,like,8,https://i1.sndcdn.com/artworks-et7EPg9XzH9Py1bw-nq1qyA-large.jpg,2018-03-19T14:56:27Z,17830373,476152911,playlist,2022-02-11T05:53:33Z,62673,False,first-on-soundcloud,https://soundcloud.com/playlist/sets/first-on-soundcloud,True,5995,,public,First On SoundCloud,100,https://api.soundcloud.com/playlists/476152911,377131535,,False,2018-03-21T02:23:48Z,,2018-03-21T02:23:48Z,https://i1.sndcdn.com/avatars-wQ2we7uDPoXzUVzW-qdr1Yg-large.jpg,,22443,,377131535,user,2020-12-11T15:55:04Z,,playlist,https://soundcloud.com/playlist,https://api.soundcloud.com/users/377131535,soundcloud:users:377131535,Moments,True,,,False,True,True,soundcloud:system-playlists:artist-stations:377131535,artist-stations:377131535
2018-03-19T03:38:55Z,like,8,https://i1.sndcdn.com/artworks-6b9d7758-3791-4149-8209-b6cce9c1a1f0-0-large.jpg,2017-06-21T09:51:15Z,2556420,332142228,playlist,2017-06-21T09:51:15Z,5,True,megatrap-1,https://soundcloud.com/headhighofficial/sets/megatrap-1,True,0,,public,Megatrap,9,https://api.soundcloud.com/playlists/332142228,314454687,album,True,2014-06-17T00:00:00Z,2014-06-17T00:00:00Z,2014-06-17T00:00:00Z,https://a1.sndcdn.com/images/default_avatar_large.png,,122,,314454687,user,2017-06-20T13:34:14Z,,headhighofficial,https://soundcloud.com/headhighofficial,https://api.soundcloud.com/users/314454687,soundcloud:users:314454687,Head High,False,,,False,False,False,soundcloud:system-playlists:artist-stations:314454687,artist-stations:314454687
2018-03-19T03:37:53Z,like,8,https://i1.sndcdn.com/artworks-19bc4264-f183-45f0-acd0-f13c64bce1d9-0-large.jpg,2017-12-28T12:35:54Z,4334603,408756086,playlist,2020-01-16T00:34:17Z,11,True,shedding-the-past,https://soundcloud.com/shedofficial/sets/shedding-the-past,True,2,,public,Shedding the Past,12,https://api.soundcloud.com/playlists/408756086,272886605,album,True,2016-10-21T00:00:00Z,2016-10-21T00:00:00Z,2016-10-21T00:00:00Z,https://a1.sndcdn.com/images/default_avatar_large.png,,717,,272886605,user,2016-12-05T11:25:49Z,,shedofficial,https://soundcloud.com/shedofficial,https://api.soundcloud.com/users/272886605,soundcloud:users:272886605,Shed,False,,,False,False,False,soundcloud:system-playlists:artist-stations:272886605,artist-stations:272886605
2018-03-03T00:10:27Z,like,8,https://i1.sndcdn.com/artworks-kFkTptGLJFRrKpBL-XzGpog-large.jpg,2018-02-22T16:23:12Z,12986122,454981347,playlist,2022-02-12T14:04:46Z,100902,False,fresh-pressed-tracks,https://soundcloud.com/fresh-pressed/sets/fresh-pressed-tracks,True,6801,,public,Fresh Pressed Tracks,72,https://api.soundcloud.com/playlists/454981347,355864388,,False,2018-02-23T15:35:33Z,2016-03-08T00:00:00Z,2018-02-23T15:35:33Z,https://i1.sndcdn.com/avatars-kFkTptGLJFRrKpBL-XzGpog-large.jpg,,11211,,355864388,user,2020-11-18T16:06:21Z,,fresh-pressed,https://soundcloud.com/fresh-pressed,https://api.soundcloud.com/users/355864388,soundcloud:users:355864388,Fresh Pressed,True,,,False,True,True,soundcloud:system-playlists:artist-stations:355864388,artist-stations:355864388
2018-02-28T17:54:52Z,like,8,,2018-02-28T14:32:50Z,1741385,459962646,playlist,2018-02-28T14:43:30Z,3,False,february-highlights,https://soundcloud.com/globalmusicteam/sets/february-highlights,True,0,,public,February Highlights,7,https://api.soundcloud.com/playlists/459962646,281577958,,False,2018-02-28T14:43:30Z,,2018-02-28T14:43:30Z,https://i1.sndcdn.com/avatars-jOof0yuiXI8uDi4S-m4Eb3g-large.jpg,,74,,281577958,user,2021-12-09T19:42:40Z,,globalmusicteam,https://soundcloud.com/globalmusicteam,https://api.soundcloud.com/users/281577958,soundcloud:users:281577958,The Music Team,False,,,False,False,False,soundcloud:system-playlists:artist-stations:281577958,artist-stations:281577958
